"","status_id","conversation_id","user_id","in_reply_to_user_id","is_retweet","retweet_user_id","quoted_user_id","created_at","text","lang","like_count","quote_count","reply_count","retweet_count","reply_settings","possibly_sensitive","impression_count","following_count","bookmark_count","quoted_text","media_type","verified","entities_normalizes_text","entities_probability","entities_type","entity_description","entity_id","entity_name"
"973","1527741035664887810","1527741035664887810","30354991",NA,0,NA,NA,"2022-05-20T20:00:21.000Z","More than 30 million people in our country do not have access to high-speed internet, many because they cannot afford the cost of a plan.

That can change today. Go to https://t.co/bEw5uQEwfb to learn if you are eligible and apply.","en",1456,33,179,346,"everyone",FALSE,0,725,16,NA,NA,TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"974","1520463747025969152","1520463747025969152","30354991",NA,0,NA,NA,"2022-04-30T18:03:00.000Z","America has one of the highest maternal mortality rates among developed nations. 

From helping states expand their postpartum coverage to encouraging better practices, we are working to improve maternal health outcomes for families.","en",3935,50,385,567,"everyone",FALSE,0,725,6,NA,NA,TRUE,"America","0.9592","Place","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"975","1522963468818780162","1522963468818780162","30354991",NA,0,NA,NA,"2022-05-07T15:36:00.000Z","Many states have worked with the Centers for Medicare &amp; Medicaid Services to expand postpartum Medicaid coverage to a full twelve months.

This will be a game changer for women and their families.","en",3638,31,336,484,"everyone",FALSE,0,725,10,NA,NA,TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"976","1530197133273473026","1530197133273473026","30354991",NA,0,NA,NA,"2022-05-27T14:40:00.000Z","Our hearts are with the people of Uvalde, Texas—with the parents, children, and everyone who said goodbye to someone they loved that morning not knowing that goodbye would be their last.

We must have the courage to stand up to the gun lobby and pass reasonable gun safety laws.","en",6503,90,731,782,"everyone",FALSE,0,725,11,NA,NA,TRUE,"Uvalde,Texas","0.8603,0.948","Place,Place","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician,Texas","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656,855432197297192961","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures,Texas"
"977","1523333155889029120","1523333155889029120","30354991",NA,0,NA,NA,"2022-05-08T16:05:01.000Z","Today, I think of all the mothers across our nation who are the source of inspiration to their families, and will ultimately lead us into a brighter future. Happy Mother’s Day!","en",9426,81,868,924,"everyone",FALSE,0,725,15,NA,NA,TRUE,"Mother’s","0.5231","Other","US Senator Kamala Harris (CA),This Mother's Day entity will include all conversations for all years ,This Mother's Day entity will include all conversations for all years ,This entity for Mother's Day France for all years ,this entity for all conversations for Mother's Day UK all year,US Senator Kamala Harris (CA),This Mother's Day entity will include all conversations for all years ,This entity for Mother's Day France for all years ,this entity for all conversations for Mother's Day UK all year,Politics,US Senator Kamala Harris (CA),Politician,The following Tweets are part of a live conversation detected by an algorithm.","875006493984149509,1238036059402821633,1238036059402821633,1253277008647172096,1355159817241849861,875006493984149509,1238036059402821633,1253277008647172096,1355159817241849861,847878884917886977,875006493984149509,1070032753834438656,1291095284756357120,1436053202835689485,1519452729327857665","Kamala Harris,Mother's Day,Mother's Day,Mother's Day France,Mother's Day UK,Kamala Harris,Mother's Day,Mother's Day France,Mother's Day UK,Politics,Kamala Harris,Political figures,Cultural events,Events,It's Mother's Day"
"978","1528165495387594752","1528165495387594752","30354991",NA,0,NA,NA,"2022-05-22T00:07:00.000Z","If Roe v. Wade is overturned, it will be an extreme step backward and a direct assault on the fundamental right to self-determination. 

It represents a threat not just to women but to all Americans.","en",22416,266,2657,2909,"everyone",FALSE,0,725,26,NA,NA,TRUE,"Roe,Wade","0.661,0.5977","Person,Person","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Political issues,Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,900740740468191232,1070032753834438656,1521295104438284288,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political issues,Political figures,Reproductive Rights in the United States,Politics,Political issues"
"979","1528402809774809091","1528402809774809091","30354991",NA,0,NA,NA,"2022-05-22T15:50:00.000Z","Nearly 40% of American households are eligible for the Affordable Connectivity Program.

Over 11 million households already signed up to lower their monthly bills and access affordable high-speed internet.

Find out if you are eligible for this program at https://t.co/bEw5uQEwfb.","en",1843,38,205,513,"everyone",FALSE,0,725,43,NA,NA,TRUE,"Connectivity","0.61","Other","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"980","1528437791272607745","1528437791272607745","30354991",NA,0,NA,NA,"2022-05-22T18:09:01.000Z","The right to privacy that forms the basis of Roe v. Wade also protects the right to use contraception and the right to marry the person you love. 

Overturning Roe opens the door to restricting those rights.","en",9149,105,826,1521,"everyone",FALSE,0,725,23,NA,NA,TRUE,"Roe,Wade,Roe","0.5085,0.493,0.4645","Person,Person,Other","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Political issues,Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,900740740468191232,1070032753834438656,1521295104438284288,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political issues,Political figures,Reproductive Rights in the United States,Politics,Political issues"
"981","1521611056761786377","1521611056761786377","30354991",NA,0,NA,NA,"2022-05-03T22:02:00.000Z","Republican legislators in states across the country are weaponizing the use of Roe v. Wade against women. 

The rights of all Americans are at risk. This is the time to fight for women and our country with everything we have.","en",9431,168,1337,1643,"everyone",FALSE,0,725,8,NA,NA,TRUE,"Roe,Wade","0.3982,0.5007","Person,Person","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656,1521295104438284288,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures,Reproductive Rights in the United States,Politics,Political issues"
"982","1521872027279400964","1521872027279400964","30354991",NA,0,NA,NA,"2022-05-04T15:19:00.000Z","If the court overturns Roe v. Wade, it will be a direct assault on freedom.","en",71482,1832,11259,8433,"everyone",FALSE,0,725,87,NA,NA,TRUE,"Roe,Wade","0.7928,0.721","Person,Person","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Political issues,Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,900740740468191232,1070032753834438656,1521295104438284288,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political issues,Political figures,Reproductive Rights in the United States,Politics,Political issues"
